datasetid,NDLOCR ver.2.1,NDLOCR-Lite v1.0.1（手書き等学習前）,NDLOCR-Lite ver.1.2.1（手書き等学習後）
tosho_1870_bunkei,0.9214,0.91813288,0.899688732
tosho_1870_rikei,0.8867,0.888791013,0.882049301
tosho_1880_bunkei,0.9565,0.949825035,0.949751299
tosho_1880_rikei,0.9369,0.951094778,0.938216992
tosho_1890_bunkei,0.971,0.968261302,0.960099775
tosho_1890_rikei,0.947,0.957091971,0.933489139
tosho_1900_bunkei,0.9795,0.978283939,0.974222605
tosho_1900_rikei,0.9728,0.956121709,0.967503588
tosho_1910_bunkei,0.974,0.962786347,0.971774879
tosho_1910_rikei,0.9531,0.94483385,0.967052372
tosho_1920_bunkei,0.9727,0.970330517,0.967832656
tosho_1920_rikei,0.9589,0.963248875,0.969093281
tosho_1930_bunkei,0.9722,0.962924463,0.969329632
tosho_1930_rikei,0.9783,0.979555446,0.978724217
tosho_1940_bunkei,0.9852,0.980562277,0.984317753
tosho_1940_rikei,0.9732,0.972079927,0.975199959
tosho_1950_bunkei,0.9815,0.98085824,0.982179486
tosho_1950_rikei,0.9783,0.983289436,0.977684627
tosho_1960_bunkei,0.9908,0.987312861,0.98485896
tosho_1960_rikei,0.9724,0.977228558,0.9736636
zasshi_1870,0.9403,0.933524235,0.941564498
zasshi_1880,0.9599,0.960587115,0.962281196
zasshi_1890,0.9622,0.951822211,0.943339518
zasshi_1900,0.9767,0.972161856,0.975703533
zasshi_1910,0.9602,0.956773059,0.970839734
zasshi_1920,0.9676,0.969585267,0.971009396
zasshi_1930,0.9742,0.971383094,0.974923058
zasshi_1940,0.9811,0.981897044,0.984998125
zasshi_1950,0.9705,0.976492113,0.977970078
zasshi_1960,0.9883,0.9860828,0.98561123
zasshi_1970,0.9866,0.983264707,0.982986072
zasshi_1980,0.9827,0.986267382,0.987968648
zasshi_1990,0.9834,0.974193183,0.973066452
,,,
median of F-value,0.9727,0.970330517,0.971774879
